,gp,tp,gpg,apg,pmpg,+/-pg,position_C,position_D,position_F,position_L,position_R,position_W,ppg
44912,24,3,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.08333333333333333,1,0,0,0,0,0,0.13
3820,25,4,0.08,0.08,0.64,0.0,0,0,0,1,0,0,0.16
3931,53,22,0.18867924528301888,0.22641509433962265,1.150943396226415,0.0,0,0,0,1,0,0,0.42
4096,33,17,0.24242424242424243,0.2727272727272727,0.18181818181818182,0.0,0,0,0,1,0,0,0.52
36682,46,3,0.021739130434782608,0.043478260869565216,0.5434782608695652,-0.15217391304347827,0,0,0,0,1,0,0.07
37805,15,0,0.0,0.0,0.4,-0.26666666666666666,0,0,0,0,1,0,0.0
38475,20,3,0.05,0.1,1.65,-0.3,0,0,0,0,1,0,0.15
24320,68,4,0.0,0.058823529411764705,0.8823529411764706,0.058823529411764705,0,1,0,0,0,0,0.06
25105,67,7,0.014925373134328358,0.08955223880597014,0.6716417910447762,-0.029850746268656716,0,1,0,0,0,0,0.1
26130,27,2,0.0,0.07407407407407407,1.0,0.07407407407407407,0,1,0,0,0,0,0.07
40108,31,11,0.06451612903225806,0.2903225806451613,0.5483870967741935,0.0967741935483871,0,1,0,0,0,0,0.36
41261,5,2,0.0,0.4,0.4,-0.2,0,1,0,0,0,0,0.4
42299,4,0,0.0,0.0,0.0,0.25,0,1,0,0,0,0,0.0
40012,69,16,0.14492753623188406,0.08695652173913043,0.17391304347826086,0.13043478260869565,0,0,0,0,1,0,0.23
41394,5,0,0.0,0.0,0.0,-0.2,0,0,0,0,1,0,0.0
42287,2,0,0.0,0.0,0.0,-0.5,0,0,0,0,1,0,0.0
20763,48,34,0.2916666666666667,0.4166666666666667,1.5416666666666667,0.3541666666666667,1,0,0,0,0,0,0.71
21726,61,21,0.18032786885245902,0.16393442622950818,1.278688524590164,0.0,1,0,0,0,0,0,0.34
22803,19,3,0.05263157894736842,0.10526315789473684,0.6842105263157895,-0.10526315789473684,1,0,0,0,0,0,0.16
27530,20,17,0.65,0.2,1.05,0.1,0,0,0,0,1,0,0.85
28863,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0
29784,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0
