playername,gp,tp,ppg,gpg,apg,pmpg,+/-pg,position_C,position_D,position_F,position_L,position_R,position_W
Peter Smrek,28,6,0.19,0.05,0.1375,0.6,-0.3875,0.0,1.0,0.0,0.0,0.0,0
Peter Stastny,977,1239,1.1806666666666665,0.4293298096300194,0.7507697510923941,0.7524518840519415,-0.012294587119976616,1.0,0.0,0.0,0.0,0.0,0
Peter Sturgeon,6,1,0.125,0.0,0.125,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0
Peter Sullivan,126,82,0.62,0.1944519256665769,0.4236466469162402,0.33934823592782115,-0.4656611904120658,0.0,0.0,1.0,0.0,0.0,0
Peter Sundstrom,335,145,0.37333333333333335,0.1584001573676588,0.21682711668462096,0.34028357370238177,-0.05111362626904518,0.0,0.0,0.0,1.0,0.0,0
Peter Taglianetti,451,92,0.1409090909090909,0.027315829913232507,0.11389411454346518,2.2320570482908146,0.023818029012834207,0.0,1.0,0.0,0.0,0.0,0
Peter Vandermeer,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Peter Wallin,52,17,0.39,0.06666666666666667,0.32083333333333336,0.23333333333333334,-0.029166666666666664,0.0,0.0,0.0,0.0,1.0,0
Peter White,223,59,0.21600000000000003,0.07497941872941874,0.13858803233803235,0.2112096237096237,-0.11416731416731415,1.0,0.0,0.0,0.0,0.0,0
Peter Worrell,440,50,0.10374999999999998,0.04676219661116152,0.05699540299703293,4.259792519004965,-0.10345846330348236,0.0,0.0,0.0,1.0,0.0,0
Peter Zezel,873,608,0.6553333333333333,0.23936748805524122,0.41504043446766503,0.4669700645410879,0.04958742288557587,1.0,0.0,0.0,0.0,0.0,0
Petr Buzek,157,31,0.09666666666666668,0.028656190241556093,0.0681715529276505,0.871252009056887,0.06907166907166908,0.0,1.0,0.0,0.0,0.0,0
Petr Cajanek,339,179,0.538,0.17099559926403338,0.366763719572336,0.4622323602936693,0.09272131900135214,1.0,0.0,0.0,0.0,0.0,0
Petr Hubacek,6,1,0.17,0.16666666666666666,0.0,0.3333333333333333,-0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0
Petr Kalus,11,5,0.28,0.2222222222222222,0.05555555555555555,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0
Petr Kanko,10,1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0
Petr Klima,786,573,0.6707692307692307,0.3621222308300958,0.3079101581140794,0.8008816453075732,-0.17312816639532594,0.0,0.0,0.0,0.0,1.0,0
Petr Mika,3,0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0
Petr Nedved,1063,763,0.7068750000000001,0.29494237120916206,0.4112977500627864,0.7004841301200204,-0.051306490383932014,1.0,0.0,0.0,0.0,0.0,0
Petr Prajsler,46,13,0.4475,0.022058823529411766,0.4264705882352941,0.5836834733893557,0.4219187675070028,0.0,1.0,0.0,0.0,0.0,0
Petr Prucha,346,146,0.37333333333333335,0.18746287425771935,0.18676121834488688,0.38800574849004105,-0.007115983757429194,0.0,0.0,0.0,0.0,1.0,0
Petr Straka,3,2,0.67,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0
Petr Svoboda,1046,402,0.3705555555555556,0.05502847556466628,0.3152883424277538,1.5299542673977218,0.14480726291851193,0.0,1.0,0.0,0.0,0.0,0
Petr Sykora,1110,777,0.6033333333333333,0.2719726042637458,0.33058513578319393,0.40546848839392463,-0.02880107712968785,0.0,0.0,0.0,0.0,1.0,0
Petr Taticek,3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
Petr Tenkrat,177,52,0.2933333333333333,0.12290787908284663,0.17086104802076574,0.4621795911745619,-0.21279472204196406,0.0,0.0,0.0,0.0,1.0,0
Petr Vrana,16,1,0.06,0.0625,0.0,0.125,-0.25,1.0,0.0,0.0,0.0,0.0,0
Petri Kontiola,12,5,0.42,0.0,0.4166666666666667,0.5,0.4166666666666667,1.0,0.0,0.0,0.0,0.0,0
